"dataset1_openml_id","dataset1_name","attr1_name","attr1_type_converted","dataset2_openml_id","dataset2_name","attr2_name","attr2_type_converted","distinct_values_cnt","distinct_values_pct","missing_values_pct","val_size_min","val_size_max","val_size_avg","val_size_std","val_pct_min","val_pct_max","val_pct_median","val_pct_std","name_dist","similarity_score","attributes_match"
13,"breast-cancer","Class",0,15,"breast-w","Class",0,0,0.590844035148621,0,0.647058844566345,0.550000011920929,0.594594597816467,0,0.138051047921181,0.067729115486145,0,0.234714031219482,0,0.99,"1"
13,"breast-cancer","Class",0,37,"diabetes","class",0,0,0.627604126930237,0,0.117647059261799,0.25,0.189189195632935,1,0.148424118757248,0.073705181479454,0,0.25542414188385,0.2,0.94,"1"
13,"breast-cancer","deg-malig",0,48,"tae","Class_attribute",0,0,0.472028017044067,0,0,0,0,0,0.234822824597359,0.242244273424149,0.102386020123959,0.905923306941986,0.866666666666667,0.83,"1"
13,"breast-cancer","Class",0,50,"tic-tac-toe","Class",0,0,0.701461374759674,0,0.529411792755127,0.600000023841858,0.567567586898804,1,0.142527431249619,0.0702903047204018,0,0.243589833378792,0,0.97,"1"
13,"breast-cancer","deg-malig",0,455,"cars","origin",0,0,0.295566499233246,0,0,0,0,0,0.275875985622406,0.273497432470322,0.34522208571434,0.574500858783722,0.444444444444444,0.69,"1"
15,"breast-w","Class",0,37,"diabetes","class",0,0,0.0898437425494194,0,0.600000023841858,0.400000005960464,0.5,1,0.0120344404131174,0.00641022901982069,0,0.0270619280636311,0.2,0.97,"1"
15,"breast-w","Class",0,50,"tic-tac-toe","Class",0,0,0.270354896783829,0,0.25,0.111111111938953,0.0625,1,0.0051933154463768,0.00274725747294724,0,0.0115980310365558,0,0.99,"1"
15,"breast-w","Class",0,841,"stock","binaryClass",0,0,0.26421058177948,0,0.833333313465118,0.888888895511627,0.866666674613953,1,0.290972679853439,0.215964570641518,0,0.911726832389832,0.545454545454545,0.76,"1"
15,"breast-w","Class",0,967,"cars","binaryClass",0,0,0.41917023062706,0,0.833333313465118,0.888888895511627,0.866666674613953,1,0.0790598094463348,0.0451769754290581,0,0.190721541643143,0.545454545454545,0.98,"1"
37,"diabetes","class",0,50,"tic-tac-toe","Class",0,0,0.198329865932465,0,0.466666668653488,0.466666668653488,0.466666668653488,0,0.00687683839350939,0.00367306219413877,0,0.0156453531235456,0.2,0.99,"1"
37,"diabetes","class",0,841,"stock","binaryClass",0,0,0.191579014062881,0,0.933333337306976,0.933333337306976,0.933333337306976,0,0.282335996627808,0.21090629696846,0,0.909271538257599,0.636363636363636,0.94,"1"
37,"diabetes","class",0,967,"cars","binaryClass",0,0,0.471354126930237,0,0.933333337306976,0.933333337306976,0.933333337306976,0,0.0678418055176735,0.0390168540179729,0,0.168211743235588,0.636363636363636,0.99,"1"
48,"tae","Class_attribute",0,61,"iris","class",0,0,0.00662244856357574,0,0.909090936183929,0.933333337306976,0.925000011920929,1,0.0264026708900928,0.0322298742830753,0.00660069612786174,1,0.0666666666666667,0.96,"1"
48,"tae","Class_attribute",0,455,"cars","origin",0,0,0.628078818321228,0,0,0,0,0,0.445916831493378,0.449488520622253,0.412262201309204,0.959970474243164,0.266666666666667,0.8,"1"
50,"tic-tac-toe","Class",0,841,"stock","binaryClass",0,0,0.00835066381841898,0,0.875,0.875,0.875,0,0.28727126121521,0.213804692029953,0,0.910691022872925,0.545454545454545,0.99,"1"
50,"tic-tac-toe","Class",0,967,"cars","binaryClass",0,0,0.576200425624847,0,0.875,0.875,0.875,0,0.0742521062493324,0.0425466038286686,0,0.18122535943985,0.545454545454545,1,"1"
50,"tic-tac-toe","Class",0,969,"iris","binaryClass",0,0,0.843423843383789,0,0.875,0.875,0.875,0,0.0383727066218853,0.0199490301311016,0,0.079784095287323,0.545454545454545,0.96,"1"
455,"cars","name",0,1092,"Crash","carID",0,0.535256385803223,0.463960528373718,0,0.142857149243355,0.305555552244186,0.144843474030495,0.364978283643723,0.561403512954712,0.129411771893501,0.561403512954712,0.324748933315277,0.8,0.78,"1"
455,"cars","name",0,1092,"Crash","carID_and_Year",0,0.442307680845261,0.35675260424614,0,0.400000005960464,0.222222223877907,0.0424598008394241,0.358625560998917,0.561403512954712,0.229729756712914,0.561403512954712,0.674484431743622,0.857142857142857,0.83,"1"
15,"breast-w","Normal_Nucleoli",1,969,"iris","binaryClass",0,0.800000011920929,0.0679999589920044,0,0,0.5,0.0909091085195541,1,0.931293129920959,0.0493474900722504,0.93419998884201,0.199490994215012,0.6,0.3,"0"
50,"tic-tac-toe","top-right-square",0,455,"cars","origin",0,0,0.576200485229492,0,0,0,0,0,0.159813091158867,0.302589505910873,0.443523079156876,0.557496428489685,0.125,0.63,"0"
48,"tae","Whether_of_not_the_TA_is_a_native_English_speaker",0,1092,"Crash","Year",1,0.600000023841858,0.0675496980547905,0,0.5,0.5,0.5,0,0.0536178462207317,0.732763946056366,0.602200031280518,0.968857884407043,0.0204081632653061,0.42,"0"
15,"breast-w","Clump_Thickness",1,50,"tic-tac-toe","middle-middle-square",0,0.699999988079071,0.781106472015381,0,0,0.5,0.0909091085195541,1,0.880239546298981,0.566199541091919,0.760214149951935,0.587234020233154,0.75,0.01,"0"
48,"tae","Whether_of_not_the_TA_is_a_native_English_speaker",0,455,"cars","cylinders",0,0.600000023841858,0.0701970756053925,0,0,0,0,0,0.961478412151337,0.368857532739639,0.586199998855591,0.521465539932251,0.102040816326531,0.28,"0"
50,"tic-tac-toe","middle-middle-square",0,967,"cars","name",0,0.990384638309479,0.995925009250641,0,0.833333313465118,0.972222208976746,0.940126657485962,1,0.985029935836792,0.969044148921967,0.99295574426651,0.98805171251297,0.1,0.02,"0"
50,"tic-tac-toe","Class",0,455,"cars","cylinders",0,0.600000023841858,0.83048015832901,0,0.875,0.875,0.875,0,0.9786496758461,0.219620376825333,0.586199998855591,0.0394994840025902,0.777777777777778,0.13,"0"
21,"car","maint",0,50,"tic-tac-toe","bottom-right-square",0,0.25,0.260802447795868,0,0.666666686534882,0.800000011920929,0.733333349227905,1,0.144000008702278,0.426999777555466,0.285101532936096,1,0.842105263157895,0.19,"0"
50,"tic-tac-toe","top-right-square",0,214,"baskball","height",1,0.769230782985687,0.976874887943268,0,0.666666686534882,0.666666686534882,0.666666686534882,0,0.951401889324188,0.570249855518341,0.880754947662354,0.418709993362427,0.125,0,"0"
50,"tic-tac-toe","Class",0,1092,"Crash","Year",1,0.600000023841858,0.853027164936066,0,0.75,0.75,0.75,0,0.475476056337357,0.669574499130249,0.602200031280518,0.937492370605469,0.6,0.05,"0"
